lnchprg,enroll,staff,expend,salary,benefits,droprate,gradrate,math10,sci11
1.4,1862,112.6,5765,37498,7420,2.9,89.2,56.4,67.9
2.3,11355,101.2,6601,48722,10370,1.3,91.4,42.7,65.3
2.7,7685,114,6834,44541,7313,3.5,91.4,43.8,54.3
3.4,1148,85.4,3586,31566,5989,3.6,86.6,25.3,60
3.4,1572,96.1,3847,29781,5545,0,100,15.3,65.8
3.4,2496,101.1,5070,36801,5895,2.7,89.2,46,60.5
3.6,3358,87.6,4474,37863,6934,1.4,95.1,33.6,67.4
3.6,11983,96,5159,40133,8085,2.5,87.8,40.1,69.4
4.2,3499,102.8,5012,36451,7253,1.8,93.2,42.1,71.7
4.2,5095,145,6501,33449,7386,1.9,92.1,39.8,55
4.5,16793,106.9,5938,40859,8754,3,88.2,30.8,58.1
4.5,984,100.9,5987,42785,9279,5.6,79.3,14.6,74.6
5.1,1116,107.1,4843,34085,5907,0.6,97.5,51.1,48.6
5.5,4156,101.2,4255,29700,5295,5.3,79.7,29.2,55
5.5,4046,99.9,5332,47436,3,0.2,98.4,49.7,62
5.6,10695,125.8,6806,40304,7309,1.1,89.8,42.6,53.1
5.8,3117,122.8,6169,38873,6265,2.4,90.7,35,54.1
6.1,2168,108.4,5235,35536,6555,4.1,84.7,35.9,45.4
6.2,2317,80.3,4196,37350,6987,1.6,93.8,17.8,44.5
6.2,1391,109.3,4854,31076,6434,23.4,90,25.5,74.4
6.3,3691,82.7,4088,35538,6408,1.4,94.1,33.2,69.2
6.3,1673,103,4497,31271,6668,5.1,81.1,39.6,67.2
6.7,2671,84.2,4141,35547,6430,0.4,98.2,30.3,57.1
6.8,650,97.6,4403,34194,6833,0,100,54.8,72.8
6.9,2119,89.2,4018,33345,6373,3.1,87.2,62.4,66.7
7.8,1002,110.8,3943,25453,5246,2.8,89,29.7,56.5
7.8,2549,84.6,4677,41451,7637,5,82.7,36.9,56.7
8,5805,98.9,4357,33234,5548,2.2,89.8,22.4,57.9
