train,age,educ,black,hisp,married,nodegree,mosinex,re74,re75,re78,unem74,unem75,unem78
1,37,11,1,0,1,1,13,0,0,9.93005,1,1,0
1,22,9,0,1,0,1,13,0,0,3.59589,1,1,0
1,30,12,1,0,0,0,13,0,0,24.9095,1,1,0
1,27,11,1,0,0,1,13,0,0,7.50615,1,1,0
1,33,8,1,0,0,1,13,0,0,0.28979,1,1,0
1,22,9,1,0,0,1,13,0,0,4.05649,1,1,0
1,23,12,1,0,0,0,6,0,0,0,1,1,1
1,32,11,1,0,0,1,6,0,0,8.47216,1,1,0
1,22,16,1,0,0,0,14,0,0,2.16402,1,1,0
1,33,12,0,0,1,0,13,0,0,12.4181,1,1,0
1,19,9,1,0,0,1,14,0,0,8.17391,1,1,0
1,21,13,1,0,0,0,14,0,0,17.0946,1,1,0
1,18,8,1,0,0,1,15,0,0,0,1,1,1
1,27,10,1,0,1,1,15,0,0,18.7399,1,1,0
1,17,7,1,0,0,1,15,0,0,3.02388,1,1,0
1,19,10,1,0,0,1,13,0,0,3.2285,1,1,0
1,27,13,1,0,0,0,6,0,0,14.5819,1,1,0
1,23,10,1,0,0,1,13,0,0,7.6934,1,1,0
1,40,12,1,0,0,0,15,0,0,10.8043,1,1,0
1,26,12,1,0,0,0,21,0,0,10.7474,1,1,0
1,23,11,1,0,0,1,6,0,0,0,1,1,1
1,41,14,0,0,0,0,14,0,0,5.1495,1,1,0
1,38,9,0,0,0,1,6,0,0,6.40895,1,1,0
1,24,11,1,0,0,1,6,0,0,1.9914,1,1,0
1,18,10,1,0,0,1,15,0,0,11.1632,1,1,0
1,29,11,1,0,1,1,6,0,0,9.643,1,1,0
1,25,11,1,0,0,1,13,0,0,9.89705,1,1,0
1,27,10,0,1,0,1,13,0,0,11.1429,1,1,0
1,17,10,1,0,0,1,14,0,0,16.218,1,1,0
1,24,11,1,0,0,1,15,0,0,0.9957,1,1,0
1,17,10,1,0,0,1,6,0,0,0,1,1,1
1,48,4,1,0,0,1,14,0,0,6.55159,1,1,0
1,25,11,1,0,1,1,14,0,0,1.57442,1,1,0
1,20,12,1,0,0,0,14,0,0,0,1,1,1
1,25,12,1,0,0,0,14,0,0,3.19175,1,1,0
1,42,14,1,0,0,0,12,0,0,20.5059,1,1,0
1,25,5,1,0,0,1,15,0,0,6.18188,1,1,0
1,23,12,1,0,1,0,13,0,0,5.91155,1,1,0
1,46,8,1,0,1,1,15,0,0,3.09416,1,1,0
1,24,10,1,0,0,1,15,0,0,0,1,1,1
1,21,12,1,0,0,0,15,0,0,1.25458,1,1,0
1,19,9,0,0,0,1,14,0,0,13.1888,1,1,0
1,17,8,1,0,0,1,15,0,0,8.06149,1,1,0
1,18,8,0,1,1,1,15,0,0,2.78796,1,1,0
1,20,11,1,0,0,1,23,0,0,3.97254,1,1,0
1,25,11,1,0,1,1,15,0,0,0,1,1,1
1,17,8,1,0,0,1,13,0,0,0,1,1,1
1,17,9,1,0,0,1,13,0,0,0,1,1,1
1,25,5,1,0,0,1,24,0,0,12.1874,1,1,0
1,23,12,1,0,0,0,15,0,0,4.84318,1,1,0
1,28,8,1,0,0,1,14,0,0,0,1,1,1
1,31,11,1,0,1,1,24,0,0,8.08749,1,1,0
1,18,11,1,0,0,1,24,0,0,0,1,1,1
1,25,12,1,0,0,0,13,0,0,2.34897,1,1,0
1,30,11,1,0,1,1,15,0,0,0.590782,1,1,0
1,17,10,1,0,0,1,13,0,0,0,1,1,1
1,37,9,1,0,0,1,24,0,0,1.06751,1,1,0
1,41,4,1,0,1,1,14,0,0,7.28499,1,1,0
1,42,14,1,0,1,0,23,0,0,13.1675,1,1,0
1,22,11,0,0,0,1,13,0,0,1.04843,1,1,0
1,17,8,1,0,0,1,13,0,0,0,1,1,1
1,29,8,1,0,0,1,13,0,0,1.92394,1,1,0
1,35,10,1,0,0,1,14,0,0,4.66624,1,1,0
1,27,11,1,0,0,1,13,0,0,0.5492979,1,1,0
1,29,4,1,0,0,1,13,0,0,0.762915,1,1,0
1,28,9,1,0,0,1,22,0,0,10.6943,1,1,0
1,27,11,1,0,0,1,13,0,0,0,1,1,1
1,23,7,0,0,0,1,15,0,0,0,1,1,1
1,45,5,1,0,1,1,15,0,0,8.54672,1,1,0
1,29,13,1,0,0,0,13,0,0,7.47966,1,1,0
1,27,9,1,0,0,1,14,0,0,0,1,1,1
1,46,13,1,0,0,0,15,0,0,0.647205,1,1,0
1,18,6,1,0,0,1,13,0,0,0,1,1,1
1,25,12,1,0,0,0,22,0,0,11.9658,1,1,0
1,28,15,1,0,0,0,13,0,0,9.598539,1,1,0
1,25,11,0,0,0,1,23,0,0,18.7834,1,1,0
1,22,12,1,0,0,0,24,0,0,18.6781,1,1,0
1,21,9,1,0,0,1,15,0,0,0,1,1,1
1,40,11,1,0,0,1,22,0,0,23.0056,1,1,0
1,22,11,1,0,0,1,14,0,0,6.4567,1,1,0
1,25,12,1,0,0,0,14,0,0,0,1,1,1
1,18,12,1,0,0,0,14,0,0,2.32111,1,1,0
1,38,12,0,0,0,0,22,0,0,4.94185,1,1,0
1,27,13,1,0,0,0,15,0,0,0,1,1,1
1,27,8,1,0,0,1,21,0,0,0,1,1,1
1,38,11,1,0,0,1,21,0,0,0,1,1,1
1,23,8,0,1,0,1,21,0,0,3.88128,1,1,0
1,26,11,1,0,0,1,22,0,0,17.231,1,1,0
1,21,12,0,0,0,0,14,0,0,8.0486,1,1,0
1,25,8,1,0,0,1,15,0,0,0,1,1,1
1,31,11,1,0,1,1,24,0,0,14.5099,1,1,0
1,17,10,1,0,0,1,13,0,0,0,1,1,1
1,25,11,1,0,0,1,22,0,0,0,1,1,1
1,21,12,1,0,0,0,15,0,0,9.98378,1,1,0
1,44,11,1,0,0,1,15,0,0,0,1,1,1
1,25,12,0,0,0,0,23,0,0,5.5875,1,1,0
1,18,9,1,0,0,1,21,0,0,4.48285,1,1,0
1,42,12,1,0,0,0,22,0,0,2.45615,1,1,0
1,25,10,1,0,0,1,22,0,0,0,1,1,1
1,31,9,0,1,0,1,23,0,0,26.8176,1,1,0
1,24,10,1,0,0,1,21,0,0,0,1,1,1
1,26,10,1,0,0,1,24,0,0,9.26579,1,1,0
1,25,11,1,0,0,1,24,0,0,0.48523,1,1,0
1,18,11,1,0,0,1,21,0,0,4.81463,1,1,0
1,19,11,1,0,0,1,22,0,0,7.45811,1,1,0
1,43,9,1,0,0,1,21,0,0,0,1,1,1
1,27,13,1,0,0,0,21,0,0,34.0993,1,1,0
1,17,9,1,0,0,1,24,0,0,1.95327,1,1,0
1,30,11,1,0,0,1,24,0,0,0,1,1,1
1,26,10,1,0,1,1,24,2.028,0,0,0,1,1
1,20,9,1,0,0,1,24,6.08399,0,8.88167,0,1,0
1,17,9,0,1,0,1,22,0.44517,0.0743435,6.21067,0,0,0
1,20,12,1,0,0,0,22,0.989268,0.165208,0,0,0,1
