attend,termGPA,priGPA,ACT,final,frosh,soph,hw
27,3.19,2.64,23,28,0,1,8
22,2.73,3.52,25,26,0,0,7
30,3,2.46,24,30,0,0,7
31,2.04,2.61,20,27,0,1,8
32,3.68,3.32,23,34,0,1,8
29,3.23,2.93,26,25,0,1,8
30,1.54,1.94,21,10,1,0,6
26,2,2.12,22,34,0,1,8
24,2.25,2.06,24,26,1,0,8
29,3,2.73,21,26,0,1,8
30,3.21,2.29,16,27,0,0,8
19,2.05,2.29,24,22,1,0,4
19,2.13,2.64,24,27,0,0,6
29,3.58,3.39,27,33,0,1,8
29,2.5,2.76,25,29,0,1,5
30,2.1,2.33,20,23,1,0,8
20,1.27,1.98,22,22,0,1,6
32,2.77,2.29,25,21,0,1,8
31,3.15,3.02,18,25,1,0,8
29,2.38,2.33,22,22,0,1,8
27,1.77,2.54,21,24,1,0,6
25,2.33,2.39,23,27,0,1,8
31,2.33,2.43,21,19,0,1,8
22,3.88,3.88,28,33,0,1,6
27,3.29,2.58,26,33,0,0,7
29,3.8,3.36,29,31,0,1,8
32,3.5,3.02,28,32,0,0,8
25,2.14,2.12,16,22,0,1,8
30,2.88,2.37,23,30,1,0,6
25,3.27,2.93,22,27,0,1,8
27,3.29,2.02,28,30,1,0,7
27,2.56,2.78,21,26,0,0,8
23,3.25,2.85,29,25,0,0,5
32,2.71,2.28,22,28,0,1,8
31,2.86,3.46,16,27,0,1,8
25,2.5,2.63,25,23,0,1,8
18,2.15,2.19,22,32,0,1,5
32,3.5,3.57,21,32,0,1,7
31,2.16,1.98,18,26,1,0,8
24,2.4,3.05,26,19,0,1,2
31,3.54,3.45,25,31,0,1,8
31,3.65,2.63,23,31,0,1,8
32,2.5,2.62,24,19,0,0,8
25,2.12,2.13,18,24,0,1,7
31,2.5,2.42,18,26,0,1,8
32,3.81,3.43,29,34,0,1,8
30,3.1,2.35,21,19,1,0,4
30,3.14,3.61,26,24,0,1,8
30,3,2.86,24,29,0,1,7
10,1.21,2.05,30,29,1,0,0
19,2.18,2.95,29,23,0,1,7
30,2.81,2.41,19,20,0,1,7
17,2.1,2.32,23,27,0,1,8
27,2.07,2.3,21,25,0,1,7
27,1.36,1.79,21,22,1,0,5
27,3,2.3,21,30,0,1,7
28,1.96,2.48,20,21,0,1,8
30,2.86,2.87,22,35,1,0,8
30,2.61,2.02,25,24,1,0,7
30,2.71,2.66,21,23,0,1,7
31,2.89,2.81,25,23,0,1,8
26,2.86,2.34,21,28,0,0,8
25,2.35,2.53,27,31,0,1,4
24,2.64,2.09,19,21,0,1,8
19,3.29,2.67,21,35,0,1,7
22,1.54,1.9,25,18,0,1,7
28,3.32,2.8,21,21,1,0,8
32,4,3.93,25,35,0,1,8
29,2.63,2.55,26,25,0,1,8
19,2.38,2.17,21,22,1,0,6
20,1.3,1.58,18,21,0,1,5
29,2.76,2.12,20,29,1,0,8
26,2.33,2.2,14,20,0,0,6
26,2.64,2.02,27,29,1,0,1
23,2.31,3.45,23,25,0,1,5
27,2.23,1.96,20,20,0,1,5
31,2.31,2.78,23,24,0,1,8
31,3.88,3.59,27,35,0,0,7
29,2.38,2,15,19,1,0,8
31,3.22,3.59,27,25,0,1,8
24,2.26,2.04,25,28,0,0,8
25,0.75,2.12,20,22,0,1,5
30,2.85,3.35,20,28,0,1,6
32,1.65,2.41,19,25,1,0,5
